Layer,num. MACs,num. MACs used,total energy (uJ),area (mm^2),total computing cycle,computing cycles,weight size (RF),num weight RF,weight num RF read,weight num RF update,weight num RF write,weight RF read BW (words/cycle),weight RF write BW (words/cycle),input size (RF),num input RF,input num RF read,input num RF update,input num RF write,input RF read BW (words/cycle),input RF write BW (words/cycle),output size (RF),num output RF,output num RF read,output num RF update,output num RF write,output RF read BW (words/cycle),output RF write BW (words/cycle),weight size (GB),weight num GB read,weight num GB update,weight num GB write,weight GB read BW (words/cycle),weight GB write BW (words/cycle),input size (GB),input num GB read,input num GB update,input num GB write,input GB read BW (words/cycle),input GB write BW (words/cycle),output size (GB),output num GB read,output num GB update,output num GB write,output GB read BW (words/cycle),output GB write BW (words/cycle),weight size (DRAM),weight num DRAM read,weight num DRAM update,weight num DRAM write,weight DRAM read BW (words/cycle),weight DRAM write BW (words/cycle),input size (DRAM),input num DRAM read,input num DRAM update,input num DRAM write,input DRAM read BW (words/cycle),input DRAM write BW (words/cycle),output size (DRAM),output num DRAM read,output num DRAM update,output num DRAM write,output DRAM read BW (words/cycle),output DRAM write BW (words/cycle)
layer1,256,192,46.94,16.62,26624,18432,36,192,18432,0,36,0.69 words/cycle,0.00 words/cycle,867,192,18432,0,4608,0.69 words/cycle,0.17 words/cycle,2048,192,16384,18432,6144,0.62 words/cycle,0.92 words/cycle,3456,3456,0,3456,0.19 words/cycle,0.19 words/cycle,3468,27648,0,3468,1.50 words/cycle,0.19 words/cycle,131072,262144,393216,131072,14.22 words/cycle,28.44 words/cycle,3456,3456,0,0,0.19 words/cycle,0.00 words/cycle,3468,3468,0,0,0.19 words/cycle,0.00 words/cycle,131072,0,131072,0,0.00 words/cycle,7.11 words/cycle
layer2,256,192,1598.85,16.62,1175552,786432,768,192,786432,0,768,0.67 words/cycle,0.00 words/cycle,12330,192,786432,0,196608,0.67 words/cycle,0.17 words/cycle,8192,192,778240,786432,262144,0.66 words/cycle,0.89 words/cycle,147456,147456,0,147456,0.19 words/cycle,0.19 words/cycle,147968,2359296,0,147968,3.00 words/cycle,0.19 words/cycle,131072,4063232,4194304,131072,5.17 words/cycle,5.50 words/cycle,147456,147456,0,0,0.19 words/cycle,0.00 words/cycle,147968,147968,0,0,0.19 words/cycle,0.00 words/cycle,131072,0,131072,0,0.00 words/cycle,0.17 words/cycle
layer3,256,192,816.18,16.62,587776,393216,1536,192,393216,0,1536,0.67 words/cycle,0.00 words/cycle,3456,192,393216,0,98304,0.67 words/cycle,0.17 words/cycle,4096,192,389120,393216,131072,0.66 words/cycle,0.89 words/cycle,294912,294912,0,294912,0.75 words/cycle,0.75 words/cycle,41472,1179648,0,82944,3.00 words/cycle,0.21 words/cycle,65536,2031616,2097152,65536,5.17 words/cycle,5.50 words/cycle,294912,294912,0,0,0.75 words/cycle,0.00 words/cycle,41472,82944,0,0,0.21 words/cycle,0.00 words/cycle,65536,0,65536,0,0.00 words/cycle,0.17 words/cycle
layer4,256,192,1639.21,16.62,1177600,786432,6144,192,786432,0,6144,0.67 words/cycle,0.01 words/cycle,5184,192,786432,0,196608,0.67 words/cycle,0.17 words/cycle,4096,192,782336,786432,262144,0.66 words/cycle,0.89 words/cycle,589824,589824,0,589824,0.75 words/cycle,0.75 words/cycle,82944,4718592,0,165888,6.00 words/cycle,0.21 words/cycle,65536,4128768,4194304,65536,5.25 words/cycle,5.42 words/cycle,589824,589824,0,0,0.75 words/cycle,0.00 words/cycle,82944,165888,0,0,0.21 words/cycle,0.00 words/cycle,65536,0,65536,0,0.00 words/cycle,0.08 words/cycle
layer5,256,192,880.79,16.62,588800,393216,6144,192,393216,0,6144,0.67 words/cycle,0.01 words/cycle,2133,192,393216,0,98304,0.67 words/cycle,0.17 words/cycle,2048,192,391168,393216,131072,0.66 words/cycle,0.89 words/cycle,1179648,1179648,0,1179648,3.00 words/cycle,3.00 words/cycle,25600,1179648,0,102400,3.00 words/cycle,0.26 words/cycle,32768,2064384,2097152,32768,5.25 words/cycle,5.42 words/cycle,1179648,1179648,0,0,3.00 words/cycle,0.00 words/cycle,25600,102400,0,0,0.26 words/cycle,0.00 words/cycle,32768,0,32768,0,0.00 words/cycle,0.08 words/cycle
layer6,256,192,1760.27,16.62,1178624,786432,12288,192,786432,0,12288,0.67 words/cycle,0.01 words/cycle,4266,192,786432,0,196608,0.67 words/cycle,0.17 words/cycle,2048,192,784384,786432,262144,0.67 words/cycle,0.89 words/cycle,2359296,2359296,0,2359296,3.00 words/cycle,3.00 words/cycle,51200,2359296,0,204800,3.00 words/cycle,0.26 words/cycle,32768,4161536,4194304,32768,5.29 words/cycle,5.38 words/cycle,2359296,2359296,0,0,3.00 words/cycle,0.00 words/cycle,51200,204800,0,0,0.26 words/cycle,0.00 words/cycle,32768,0,32768,0,0.00 words/cycle,0.04 words/cycle
layer7,256,128,690.8,16.62,131232,65536,65536,128,65536,0,65536,0.67 words/cycle,0.67 words/cycle,8192,128,65536,0,8192,0.67 words/cycle,0.08 words/cycle,8,128,65528,65536,8,0.67 words/cycle,0.67 words/cycle,8388608,8388608,0,8388608,63.92 words/cycle,63.92 words/cycle,8192,8192,0,8192,0.06 words/cycle,0.06 words/cycle,1024,0,1024,1024,0.00 words/cycle,0.02 words/cycle,8388608,8388608,0,0,128.00 words/cycle,0.00 words/cycle,8192,8192,0,0,0.12 words/cycle,0.00 words/cycle,1024,0,1024,0,0.00 words/cycle,0.02 words/cycle
layer8,256,160,0.94,16.62,177,64,64,160,64,0,64,0.66 words/cycle,0.66 words/cycle,64,160,64,0,64,0.66 words/cycle,0.66 words/cycle,1,160,63,64,1,0.65 words/cycle,0.67 words/cycle,10240,10240,0,10240,58.08 words/cycle,58.08 words/cycle,1024,1024,0,1024,5.81 words/cycle,5.81 words/cycle,10,0,10,10,0.00 words/cycle,0.11 words/cycle,10240,10240,0,0,160.00 words/cycle,0.00 words/cycle,1024,1024,0,0,16.00 words/cycle,0.00 words/cycle,10,0,10,0,0.00 words/cycle,0.16 words/cycle
