Layer,num. MACs,num. MACs used,total energy (uJ),area (mm^2),total computing cycle,computing cycles,weight size (RF),num weight RF,weight num RF read,weight num RF update,weight num RF write,weight RF read BW (words/cycle),weight RF write BW (words/cycle),input size (RF),num input RF,input num RF read,input num RF update,input num RF write,input RF read BW (words/cycle),input RF write BW (words/cycle),output size (RF),num output RF,output num RF read,output num RF update,output num RF write,output RF read BW (words/cycle),output RF write BW (words/cycle),weight size (GB),weight num GB read,weight num GB update,weight num GB write,weight GB read BW (words/cycle),weight GB write BW (words/cycle),input size (GB),input num GB read,input num GB update,input num GB write,input GB read BW (words/cycle),input GB write BW (words/cycle),output size (GB),output num GB read,output num GB update,output num GB write,output GB read BW (words/cycle),output GB write BW (words/cycle),weight size (DRAM),weight num DRAM read,weight num DRAM update,weight num DRAM write,weight DRAM read BW (words/cycle),weight DRAM write BW (words/cycle),input size (DRAM),input num DRAM read,input num DRAM update,input num DRAM write,input DRAM read BW (words/cycle),input DRAM write BW (words/cycle),output size (DRAM),output num DRAM read,output num DRAM update,output num DRAM write,output DRAM read BW (words/cycle),output DRAM write BW (words/cycle)
layer1,65536,9216,41.12,281.11,2103,384,12,9216,384,0,12,0.75 words/cycle,0.02 words/cycle,34,9216,384,0,34,0.75 words/cycle,0.07 words/cycle,128,9216,256,384,128,0.50 words/cycle,1.00 words/cycle,3456,3456,0,3456,1.64 words/cycle,1.64 words/cycle,3468,9792,0,3468,4.66 words/cycle,1.65 words/cycle,131072,0,131072,131072,0.00 words/cycle,124.71 words/cycle,3456,3456,0,0,9.00 words/cycle,0.00 words/cycle,3468,3468,0,0,9.03 words/cycle,0.00 words/cycle,131072,0,131072,0,0.00 words/cycle,341.33 words/cycle
layer2,65536,24576,1549.32,281.11,11392,6144,24,24576,6144,0,24,0.71 words/cycle,0.00 words/cycle,385,24576,6144,0,1536,0.71 words/cycle,0.18 words/cycle,1024,24576,5120,6144,2048,0.59 words/cycle,0.94 words/cycle,147456,147456,0,147456,12.94 words/cycle,12.94 words/cycle,147968,1179648,0,147968,103.55 words/cycle,12.99 words/cycle,131072,131072,262144,131072,11.51 words/cycle,34.52 words/cycle,147456,147456,0,0,24.00 words/cycle,0.00 words/cycle,147968,147968,0,0,24.08 words/cycle,0.00 words/cycle,131072,0,131072,0,0.00 words/cycle,21.33 words/cycle
layer3,65536,49152,769.04,281.11,6272,1536,96,49152,1536,0,96,0.71 words/cycle,0.04 words/cycle,36,49152,1536,0,144,0.71 words/cycle,0.07 words/cycle,256,49152,1280,1536,512,0.59 words/cycle,0.94 words/cycle,294912,294912,0,294912,47.02 words/cycle,47.02 words/cycle,41472,442368,0,82944,70.53 words/cycle,13.22 words/cycle,65536,65536,131072,65536,10.45 words/cycle,31.35 words/cycle,294912,294912,0,0,192.00 words/cycle,0.00 words/cycle,41472,82944,0,0,54.00 words/cycle,0.00 words/cycle,65536,0,65536,0,0.00 words/cycle,42.67 words/cycle
layer4,65536,24576,1582.7,281.11,10752,6144,48,24576,6144,0,48,0.69 words/cycle,0.01 words/cycle,324,24576,6144,0,1536,0.69 words/cycle,0.17 words/cycle,512,24576,5632,6144,2048,0.63 words/cycle,0.91 words/cycle,589824,589824,0,589824,54.86 words/cycle,54.86 words/cycle,82944,589824,0,82944,54.86 words/cycle,7.71 words/cycle,65536,196608,262144,65536,18.29 words/cycle,30.48 words/cycle,589824,589824,0,0,96.00 words/cycle,0.00 words/cycle,82944,82944,0,0,13.50 words/cycle,0.00 words/cycle,65536,0,65536,0,0.00 words/cycle,10.67 words/cycle
layer5,65536,49152,842.82,281.11,11136,1536,48,49152,1536,0,48,0.69 words/cycle,0.02 words/cycle,100,49152,1536,0,384,0.69 words/cycle,0.17 words/cycle,128,49152,1408,1536,512,0.63 words/cycle,0.91 words/cycle,1179648,1179648,0,1179648,105.93 words/cycle,105.93 words/cycle,25600,147456,0,25600,13.24 words/cycle,2.30 words/cycle,32768,98304,131072,32768,8.83 words/cycle,14.71 words/cycle,1179648,1179648,0,0,768.00 words/cycle,0.00 words/cycle,25600,25600,0,0,16.67 words/cycle,0.00 words/cycle,32768,0,32768,0,0.00 words/cycle,21.33 words/cycle
layer6,65536,49152,1702.68,281.11,24192,3072,384,49152,3072,0,384,0.67 words/cycle,0.08 words/cycle,160,49152,3072,0,320,0.67 words/cycle,0.07 words/cycle,64,49152,3008,3072,1024,0.66 words/cycle,0.90 words/cycle,2359296,2359296,0,2359296,97.52 words/cycle,97.52 words/cycle,51200,245760,0,51200,10.16 words/cycle,2.12 words/cycle,32768,491520,524288,32768,20.32 words/cycle,23.03 words/cycle,2359296,2359296,0,0,768.00 words/cycle,0.00 words/cycle,51200,51200,0,0,16.67 words/cycle,0.00 words/cycle,32768,0,32768,0,0.00 words/cycle,10.67 words/cycle
layer7,65536,256,594.96,281.11,65616,32768,32768,256,32768,0,32768,0.67 words/cycle,0.67 words/cycle,4096,256,32768,0,4096,0.67 words/cycle,0.08 words/cycle,8,256,32760,32768,8,0.67 words/cycle,0.67 words/cycle,8388608,8388608,0,8388608,127.84 words/cycle,127.84 words/cycle,8192,8192,0,8192,0.12 words/cycle,0.12 words/cycle,1024,0,1024,1024,0.00 words/cycle,0.03 words/cycle,8388608,8388608,0,0,256.00 words/cycle,0.00 words/cycle,8192,8192,0,0,0.25 words/cycle,0.00 words/cycle,1024,0,1024,0,0.00 words/cycle,0.03 words/cycle
layer8,65536,256,0.82,281.11,89,40,40,256,40,0,40,0.73 words/cycle,0.73 words/cycle,4,256,40,0,4,0.73 words/cycle,0.07 words/cycle,10,256,30,40,10,0.55 words/cycle,0.91 words/cycle,10240,10240,0,10240,116.16 words/cycle,116.16 words/cycle,1024,1024,0,1024,11.62 words/cycle,11.62 words/cycle,10,0,10,10,0.00 words/cycle,0.23 words/cycle,10240,10240,0,0,256.00 words/cycle,0.00 words/cycle,1024,1024,0,0,25.60 words/cycle,0.00 words/cycle,10,0,10,0,0.00 words/cycle,0.25 words/cycle
